City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Klaksvik,FO,62.2266,-6.589,45.52,71,98,5.82,light rain
80,Upernavik,GL,72.7868,-56.1549,32.81,67,27,4.56,scattered clouds
81,Daru,PG,-9.0763,143.2092,79.23,74,68,10.25,broken clouds
82,Dudinka,RU,69.4058,86.1778,40.62,92,40,9.08,scattered clouds
83,Bilibino,RU,68.0546,166.4372,48.9,59,100,2.15,overcast clouds
84,Hithadhoo,MV,-0.6,73.0833,84.2,67,100,9.06,overcast clouds
85,Saskylakh,RU,71.9167,114.0833,30.15,93,100,10.02,overcast clouds
86,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,57.79,97,100,7.72,overcast clouds
87,Osinki,RU,52.8432,49.5132,57.67,53,91,9.6,overcast clouds
88,Vuktyl,RU,63.8567,57.3094,52.43,77,89,16.42,overcast clouds
89,Vaini,TO,-21.2,-175.2,75.36,94,75,4.61,broken clouds
90,Zonguldak,TR,41.25,31.8333,74.25,51,0,6.29,clear sky
91,Kupang,ID,-10.1667,123.5833,79.59,76,72,12.95,broken clouds
92,Sistranda,NO,63.7256,8.834,55.36,79,54,27.42,broken clouds
93,Solnechnyy,RU,50.7214,136.6319,56.12,52,100,4.09,overcast clouds
94,Pathein,MM,16.7833,94.7333,80.56,83,34,9.04,heavy intensity rain
95,Provideniya,RU,64.3833,-173.3,34.21,88,99,5.57,overcast clouds
96,Santo Tomas,PH,14.1079,121.1414,80.49,87,93,1.61,overcast clouds
97,Yar-Sale,RU,66.8333,70.8333,51.85,52,99,13.8,overcast clouds
98,Ballina,AU,-28.8667,153.5667,57.78,84,56,2.95,light rain
99,Kapaa,US,22.0752,-159.319,71.58,89,20,12.66,few clouds
100,Marrakesh,MA,31.6315,-8.0083,91.47,25,0,6.91,clear sky
101,Golspie,GB,57.9727,-3.978,54.95,65,16,26.53,few clouds
102,Yumen,CN,40.2833,97.2,71.22,29,100,9.78,overcast clouds
103,Yerbogachen,RU,61.2767,108.0108,40.03,65,81,9.06,broken clouds
104,Yellowknife,CA,62.456,-114.3525,45.12,57,20,6.91,few clouds
105,Fort Frances,CA,48.5999,-93.4003,53.17,72,20,5.75,few clouds
106,Tupiza,BO,-21.45,-65.7167,54.54,48,100,6.6,overcast clouds
107,Avera,US,33.194,-82.5271,76.55,84,100,10.25,overcast clouds
108,Oum Hadjer,TD,13.2954,19.6966,103.84,6,96,6.24,overcast clouds
109,Tala,EG,30.6803,30.9429,93.49,18,0,17.96,clear sky
110,Saint-Pierre,RE,-21.3393,55.4781,78.48,65,0,4.61,clear sky
111,Yeppoon,AU,-23.1333,150.7333,64.18,89,3,10.54,clear sky
112,Tateyama,JP,34.9833,139.8667,67.71,88,100,14.74,heavy intensity rain
113,Grand Gaube,MU,-20.0064,57.6608,79.2,69,7,1.99,clear sky
114,Qaqortoq,GL,60.7167,-46.0333,39.06,62,72,5.41,broken clouds
