City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
134,Jamestown,US,68.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
139,Carnarvon,AU,73.17,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
140,Atherton,GB,62.29,broken clouds,53.5237,-2.4935,The Mercury Motel
141,Trinidad,BO,73.38,broken clouds,-14.8333,-64.9,Hotel Piesta
142,Kavieng,PG,81,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
143,Lethem,GY,84.4,light rain,3.3803,-59.7968,Savannah Inn
144,Bubaque,GW,79.27,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
145,Lorengau,PG,79.95,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
146,Joshimath,IN,65.89,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
147,Saldanha,ZA,69.85,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
149,Nizhniy Baskunchak,RU,66.13,overcast clouds,48.2198,46.8311,Arman hotel
150,Georgetown,MY,82.35,thunderstorm,5.4112,100.3354,Cititel Penang
152,Broken Hill,AU,56.89,few clouds,-31.95,141.4333,Royal Exchange Hotel
154,George,ZA,62.15,scattered clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
155,Indramayu,ID,78.46,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
158,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
159,Muroto,JP,66.81,light rain,33.2833,134.15,Oota Ryokan
160,Kazachinskoye,RU,58.46,broken clouds,57.6953,93.2761,"Tayga, Gostinitsa"
163,Toba,JP,66.2,heavy intensity rain,34.4833,136.85,ホテル アルティア鳥羽
165,Marawi,PH,68.76,overcast clouds,7.9986,124.2928,Derogongan Residence
167,San Patricio,US,81.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
168,Grand-Lahou,CI,81.82,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
169,Santa Marta De Tormes,ES,75.22,clear sky,40.9506,-5.6272,Hotel Alameda Palace
170,Esmeralda,CU,83.44,scattered clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
171,Gladzor,AM,62.96,clear sky,39.7812,45.3504,Hotel Arpa
176,Port Elizabeth,ZA,62.89,scattered clouds,-33.918,25.5701,39 On Nile Guest House
179,Naze,JP,68.92,light rain,28.3667,129.4833,Shishime Hotel
180,Payo,ID,74.79,overcast clouds,-3.7508,103.6372,Mess keban agung
181,Gacko,BA,74.34,overcast clouds,43.1672,18.5353,Hotel Metohija
182,Souillac,MU,79.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
183,Zhanakorgan,KZ,82.13,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
185,Uvira,CD,79,light rain,-3.4067,29.1458,Hotel Suzana
186,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
188,Victoria,HK,83.17,overcast clouds,22.2855,114.1577,Mini Central
191,Marigot,MF,84.74,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
192,Plettenberg Bay,ZA,61.92,light rain,-34.0527,23.3716,Thanda Vista B&B
193,Mocuba,MZ,77.95,clear sky,-16.8392,36.9856,Phama Lodge
194,Tomatlan,MX,75.78,clear sky,19.9333,-105.25,El Salvial
